slug,city,country,region,ridership_metric,ridership_vintage,population_basis,metric_known,denominator_consistent,vintage_comparable,usable_for_ratio
glasgow,Glasgow,United Kingdom,Europe,unknown,2025,other,false,false,true,false
houston,Houston,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
phoenix,Phoenix,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
denver,Denver,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
baltimore,Baltimore,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
pune,Pune,India,Asia,unknown,2023,demographia_built_up,false,true,true,true
st-louis,St. Louis,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
sacramento,Sacramento,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
charlotte,Charlotte,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
san-jose,San Jose,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
lagos,Lagos,Nigeria,Africa,unknown,2025,demographia_built_up,false,true,true,true
edmonton,Edmonton,Canada,North America,unknown,,other,false,false,false,false
antwerp,Antwerp,Belgium,Europe,unknown,,other,false,false,false,false
krakow,Kraków,Poland,Europe,unknown,,other,false,false,false,false
mashhad,Mashhad,Iran,Middle East & Central Asia,unknown,,demographia_built_up,false,true,false,false
doha,Doha,Qatar,Middle East & Central Asia,unknown,2024,demographia_built_up,false,true,true,true
riyadh,Riyadh,Saudi Arabia,Middle East & Central Asia,unknown,,demographia_built_up,false,true,false,false
dhaka,Dhaka,Bangladesh,Asia,unknown,2025,demographia_built_up,false,true,true,true
nanning,Nanning,China,Asia,unknown,2024,demographia_built_up,false,true,true,true
shijiazhuang,Shijiazhuang,China,Asia,unknown,2025,demographia_built_up,false,true,true,true
hyderabad,Hyderabad,India,Asia,unknown,2025,demographia_built_up,false,true,true,true
kochi,Kochi,India,Asia,unknown,2025,demographia_built_up,false,true,true,true
nagpur,Nagpur,India,Asia,unknown,2025,demographia_built_up,false,true,true,true
fukuoka,Fukuoka,Japan,Asia,unknown,2024,demographia_built_up,false,true,true,true
daegu,Daegu,South Korea,Asia,unknown,2023,demographia_built_up,false,true,true,true
incheon,Incheon,South Korea,Asia,unknown,2025,demographia_built_up,false,true,true,true
taoyuan,Taoyuan,Taiwan,Asia,unknown,2025,other,false,false,true,false
